# Data from filtration/condensation category learning experiment, 
# published in
# 
# Kruschke, J. K. (1993).  Human category learning: Implications
#   for backpropagation models.  Connection Science, v.5, pp.3-36.
# 
# The stimuli were rectangles that varied in height, with an interior 
# vertical segment that varied in its lateral position.  Best fitting 
# psychological scale values (data from a different experiment; see 
# Kruschke 1993):
# 
#                      ^
#             1.5968   |              6       4             numerical
# height of            |                                    pattern
# rectangle   0.43575  |      8                      2      identifier
#                      |
#            -0.51625  |      7                      1
#                      |
#            -1.5163   |              5       3
#                      +---------------------------------->
#                         -1.5712 -0.51625 0.6588 1.4878
#                                horizontal position
#                                of interior segment
# 
# For categorization condition 1 (filtration),
#   horizontal position was relevant, i.e., 
#   exemplars 1,2,3,4 vs. 5,6,7,8
# For condition 2 (filtration), 
#   height was relevant, i.e.,
#   exemplars 1,3,5,7 vs. 2,4,6,8
# For condition 3 (condensation), 
#   the dividing line was the left diagonal, i.e.,
#   exemplars 1,2,4,6 vs. 3,5,7,8
# For condition 4 (condensation), 
#   the dividing line was the right diagonal, i.e.,
#   exemplars 1,2,3,5 vs. 4,6,7,8
# 
# Data format. Each row has the following fields:
# column 1: the categorization condition (1-4, as elaborated above),
# col 3-4: the subject number (1-40 for each condition)
# col 6-7: the trial number (1-64 for each subject)
# col. 9: the pattern identifier (same sequence for every subject, 
#          with pattern numbers as specified above)
# col. 11: response accuracy (0=wrong, 1=correct, 2=no response 
#                             within 30 sec)
# col. 13-17: response time in milliseconds
1 11 55 2 1   510
1 11 56 4 1   651
1 11 57 6 1   662
1 11 58 7 1   496
1 11 59 3 1   599
1 11 60 2 1   823
1 11 61 8 1   688
1 11 62 1 1  1030
1 11 63 5 1   542
1 11 64 4 1  1629
1 12  1 5 0  1221
1 12  2 7 1   936
1 12  3 3 1   837
1 12  4 4 1  1234
1 12  5 2 1   652
1 12  6 1 1  1209
1 12  7 6 1   976
1 12  8 8 1   791
1 12  9 2 1   618
1 12 10 8 1   606
1 12 11 5 1   748
1 12 12 6 1   803
1 12 13 4 1   958
1 12 14 1 1  1143
1 12 15 3 1  1254
1 12 16 7 1   732
1 12 17 2 1  2081
1 12 18 4 1  3057
1 12 19 7 1  1102
1 12 20 3 1  1551
1 12 21 6 1  2730
1 12 22 1 0  1245
1 12 23 5 1  2760
1 12 24 8 1  1765
1 12 25 1 1  1522
1 12 26 6 1  2084
1 12 27 3 1  2419
1 12 28 4 1  2046
1 12 29 8 1  1180
1 12 30 7 1  1473
1 12 31 2 1  4207
1 12 32 5 1  1357
1 12 33 5 1  2119
1 12 34 1 1  1906
1 12 35 6 1  2030
1 12 36 8 1   780
1 12 37 2 1  1443
1 12 38 7 1  1016
1 12 39 3 1  2470
1 12 40 4 1  1248
1 12 41 1 1  1527
1 12 42 4 1  2137
1 12 43 8 1   833
1 12 44 6 1   693
1 12 45 3 1  1741
1 12 46 2 1  1654
1 12 47 7 1   635
1 12 48 5 1  2437
1 12 49 1 1   882
1 12 50 6 1  3719
1 12 51 7 1  1550
1 12 52 8 1  1274
1 12 53 5 1   930
1 12 54 3 1   934
1 12 55 2 1  1770
1 12 56 4 0  1825
1 12 57 6 1  2247
1 12 58 7 1  2660
1 12 59 3 1  1920
1 12 60 2 1  1725
1 12 61 8 1   756
1 12 62 1 1  3905
1 12 63 5 1  1610
1 12 64 4 1  2136
1 13  1 5 0  1528
1 13  2 7 1  2554
1 13  3 3 1  1214
1 13  4 4 0  3663
1 13  5 2 1  2695
1 13  6 1 1  1463
1 13  7 6 1  1437
1 13  8 8 1  1040
1 13  9 2 1   624
1 13 10 8 0  1396
1 13 11 5 1  1392
1 13 12 6 1   780
1 13 13 4 1  1913
1 13 14 1 1  1029
1 13 15 3 1   969
1 13 16 7 1  1176
1 13 17 2 1   615
1 13 18 4 1  1240
1 13 19 7 1   944
1 13 20 3 1   891
1 13 21 6 1  1789
1 13 22 1 1   765
1 13 23 5 1   845
1 13 24 8 1   949
1 13 25 1 1   732
1 13 26 6 1  2201
1 13 27 3 1   565
1 13 28 4 1  1336
1 13 29 8 1   986
1 13 30 7 1   893
1 13 31 2 1  1100
1 13 32 5 1  1285
1 13 33 5 1  1775
1 13 34 1 1  1262
1 13 35 6 1  1136
1 13 36 8 1   786
1 13 37 2 1   763
1 13 38 7 1  1002
1 13 39 3 1  2157
1 13 40 4 1  1935
1 13 41 1 1   757
1 13 42 4 1  1185
1 13 43 8 1   747
1 13 44 6 1  1210
1 13 45 3 1  1009
1 13 46 2 1   750
1 13 47 7 1   627
1 13 48 5 1  2916
1 13 49 1 1   508
1 13 50 6 1  1372
1 13 51 7 1   712
1 13 52 8 1   645
1 13 53 5 1   867
1 13 54 3 1   869
1 13 55 2 1   897
1 13 56 4 1   930
1 13 57 6 1  1112
1 13 58 7 1   798
